source_id,source_name,lat,lon,total_co2_emissions_2024,source,year
182,KAHALGAON,25.2349,87.2635,14907170,Central Electricity Authority,Nov-25
184,KAKATIYA TPP,18.3835,79.8265,5717443,Central Electricity Authority,Nov-25
189,KALISINDH,24.5295,76.0986,7123792,Central Electricity Authority,Nov-25
191,KAMALANGA,20.87,85.2671,6983493,Central Electricity Authority,Nov-25
194,KARAIKAL,10.9325,79.8216,118599,Central Electricity Authority,Nov-25
199,KASAIPALLI,22.389,82.5549,1330453,Central Electricity Authority,Nov-25
202,KASHIPUR CCPP,29.154721,78.974029,217174,Central Electricity Authority,Nov-25
204,KATHALGURI GT,27.341,95.408,911361,Central Electricity Authority,Nov-25
205,KAWAI TPP,24.7773,76.737,7760002,Central Electricity Authority,Nov-25
206,KAWAS GT,21.175,72.6879,331531,Central Electricity Authority,Nov-25
209,KHAMBERKHERA IPP,28.017,80.8307,426769,Central Electricity Authority,Nov-25
212,KHARGONE STPP St-I,22.065169,75.851943,6107269,Central Electricity Authority,Nov-25
219,KODERMA,24.3858,85.5517,6664107,Central Electricity Authority,Nov-25
221,KOLAGHAT,22.4157,87.8713,5557321,Central Electricity Authority,Nov-25
226,KORADI,21.2414,79.096,12278057,Central Electricity Authority,Nov-25
227,KORBA STPS,22.3881,82.6858,18319602,Central Electricity Authority,Nov-25
228,KORBA-EAST,22.3828,82.7188,3378155,Central Electricity Authority,Nov-25
229,KORBA-WEST,22.4118,82.6888,8117724,Central Electricity Authority,Nov-25
231,KOTA,25.1712,75.8171,8313546,Central Electricity Authority,Nov-25
236,KUDGI,16.4994,75.8349,10099312,Central Electricity Authority,Nov-25
240,KUNDARKI TPP,27.0786,82.0841,412043,Central Electricity Authority,Nov-25
241,KUTCH LIG.,23.6626,68.7843,721648,Central Electricity Authority,Nov-25
243,KUTTALAM GT,11.076,79.57,280416,Central Electricity Authority,Nov-25
247,LAKWA GT,27.0221,94.8833,470617,Central Electricity Authority,Nov-25
248,LARA,21.757,83.4573,10375606,Central Electricity Authority,Nov-25
250,LALITPUR TPP,24.7971,78.6463,10661615,Central Electricity Authority,Nov-25
266,MAHADEV PRASAD STPP,22.8395,86.0613,3504890,Central Electricity Authority,Nov-25
267,MAHAN TPP,24.0077,82.4172,7688429,Central Electricity Authority,Nov-25
268,MAHATMA GANDHI TPP,28.49,76.351,6495494,Central Electricity Authority,Nov-25
272,MAITHON RB TPP,23.8209,86.76,6548849,Central Electricity Authority,Nov-25
280,MAQSOODPUR  IPP,28.24440447,79.99754701,443408,Central Electricity Authority,Nov-25
281,MARWA TPP,22.0708,82.6022,6451431,Central Electricity Authority,Nov-25
283,MEJA STPP,25.1447,81.9415,7440514,Central Electricity Authority,Nov-25
284,MEJIA,23.4639,87.1311,8285901,Central Electricity Authority,Nov-25
285,MEJIA TPS EXT,23.4639,87.1311,6153512,Central Electricity Authority,Nov-25
286,MELAMARUTHUR (MUTHIARA),8.9159,78.1374,5023674,Central Electricity Authority,Nov-25
287,METTUR,11.7696,77.8138,4823207,Central Electricity Authority,Nov-25
289,METTUR TPS EXT,11.7696,77.8138,2514795,Central Electricity Authority,Nov-25
294,MONARCHAK CCPP,23.438,91.274,213214,Central Electricity Authority,Nov-25
295,MOUDA STPS,21.1797,79.3978,12406115,Central Electricity Authority,Nov-25
300,MUNDRA TPP,22.823,69.5532,24092699,Central Electricity Authority,Nov-25
301,MUNDRA UMPP,22.8158,69.5281,17959106,Central Electricity Authority,Nov-25
303,MUZAFFARPUR,26.1953,85.3017,2746698,Central Electricity Authority,Nov-25
310,NABI NAGAR TPP (BRBCL),24.7065,84.0887,6112063,Central Electricity Authority,Nov-25
311,NABI NAGAR STPP (NEW),24.7754,84.1588,11914272,Central Electricity Authority,Nov-25
312,NAMRUP GT,27.1858,95.376,418412,Central Electricity Authority,Nov-25
316,NASHIK,19.9817,73.8896,3205317,Central Electricity Authority,Nov-25
319,NAWAPARA,21.92,83.2788,3597579,Central Electricity Authority,Nov-25
323,NEYVELI FST EXT,11.5887,79.4611,3416096,Central Electricity Authority,Nov-25
325,NEYVELI ST II,11.5576,79.4417,9130329,Central Electricity Authority,Nov-25
326,NEYVELI NEW TPP,11.547055,79.44289,7608898,Central Electricity Authority,Nov-25
327,NEYVELI TPS EXP -II,11.5534,79.4408,1259361,Central Electricity Authority,Nov-25
328,NEYVELI TPS(Z),11.5401,79.4159,1962451,Central Electricity Authority,Nov-25
329,NIGRIE,24.14997,81.904525,7701342,Central Electricity Authority,Nov-25
332,NIWARI TPP,22.958166,78.732893,598598,Central Electricity Authority,Nov-25
334,NORTH CHENNAI,13.245,80.3257,3105571,Central Electricity Authority,Nov-25
335,NORTH CHENNAI EXTENSION,13.245,80.3257,5119622,Central Electricity Authority,Nov-25
338,OBRA-A,24.4448,82.9803,5307249,Central Electricity Authority,Nov-25
342,PAINAMPURAM,14.3512,80.1431,6753562,Central Electricity Authority,Nov-25
344,PALATANA (TRIPURA CCPP),23.4987,91.4385,1509213,Central Electricity Authority,Nov-25
348,PANIPAT,29.3975,76.8763,4140283,Central Electricity Authority,Nov-25
352,PARAS,20.7147,76.7948,2813387,Central Electricity Authority,Nov-25
355,PARICHA,25.5124,78.7588,5011107,Central Electricity Authority,Nov-25
356,PARLI,18.8685,76.5254,3743194,Central Electricity Authority,Nov-25
358,PATHADI TPS PH -I,22.2454,82.7246,3776372,Central Electricity Authority,Nov-25
366,PIPAVAV CCCP,20.8986,71.4693,177493,Central Electricity Authority,Nov-25
371,PRAGATI CCCP -III,28.7962,77.0706,1087534,Central Electricity Authority,Nov-25
372,PRAGATI CCGT,28.6146,77.2528,310324,Central Electricity Authority,Nov-25
374,PRYAGRAJ (BARA) TPP,25.196,81.6594,10912503,Central Electricity Authority,Nov-25
381,R_GUNDEM - B,18.7695,79.4494,28496,Central Electricity Authority,Nov-25
382,R_GUNDEM STPS,18.7572,79.456,13643171,Central Electricity Authority,Nov-25
384,RAGHUNATHPUR TPP PH-I,23.622,86.661,5884218,Central Electricity Authority,Nov-25
385,RAICHUR,16.3532,77.3422,8294950,Central Electricity Authority,Nov-25
386,RAIGARH TPP,21.9846,83.2331,6300189,Central Electricity Authority,Nov-25
387,RAIKHEDA,21.4499,81.8525,7883445,Central Electricity Authority,Nov-25
390,RAJIV GANDHI  TPS HISAR,29.356,75.869,4958390,Central Electricity Authority,Nov-25
391,RAJPURA TPP,30.557,76.577,8145771,Central Electricity Authority,Nov-25
393,RAMGARH GT,27.336,70.538,219691,Central Electricity Authority,Nov-25
399,RATIJA TPP,22.3404,82.493,652400,Central Electricity Authority,Nov-25
400,RATNAGIRI GAS,17.5587,73.167,488001,Central Electricity Authority,Nov-25
401,RAYAL SEEMA,14.704,78.4577,8997621,Central Electricity Authority,Nov-25
404,RIHAND,24.027,82.7915,20877123,Central Electricity Authority,Nov-25
408,ROKHIA GT,23.626,91.1948,139027,Central Electricity Authority,Nov-25
410,ROPAR,31.0417,76.5847,4599910,Central Electricity Authority,Nov-25
411,ROSA TPP PH - 1,27.818,79.936,6584634,Central Electricity Authority,Nov-25
415,SAGARDIGHI TPP,24.3696,88.1046,11651264,Central Electricity Authority,Nov-25
418,SALAYA TPP,22.3049,69.7101,4879927,Central Electricity Authority,Nov-25
423,SANJAY GANDHI,23.3026,81.0668,8428819,Central Electricity Authority,Nov-25
424,SANTALDIH,23.6013,86.4666,3684172,Central Electricity Authority,Nov-25
426,SASAN UMPP,23.9784,82.6275,26935499,Central Electricity Authority,Nov-25
427,SATPURA,22.11,78.173,3365095,Central Electricity Authority,Nov-25
429,SEIONI TPP,22.7355,79.9123,2746667,Central Electricity Authority,Nov-25
430,SEMBCORP GAYATRI,14.351,80.1443,7976506,Central Electricity Authority,Nov-25
440,SHIRPUR,21.15103,74.854206,1294313,Central Electricity Authority,Nov-25
444,Shri Singaji MALWA TPP,22.0971,76.5317,13883942,Central Electricity Authority,Nov-25
445,SIKKA REP.,22.4208,69.8276,831284,Central Electricity Authority,Nov-25
446,SIMHADRI,17.591,83.0917,11152035,Central Electricity Authority,Nov-25
447,SIMHAPURI TPP,14.2133,80.0838,2998253,Central Electricity Authority,Nov-25
448,SINGARENI TPP,18.8372,79.5748,6955301,Central Electricity Authority,Nov-25
450,SINGRAULI STPS,24.1033,82.7068,14140251,Central Electricity Authority,Nov-25
